split,class,index,x_coeff,y_coeff
train,cow,0,0.53,2.61
train,cow,1,0.51,0.32
train,cow,2,0.51,0.36
train,cow,3,0.53,0.57
train,cow,4,0.53,0.65
train,bird,0,0.59,0.89
train,bird,1,0.63,10.62
train,bird,2,0.63,9.46
train,bird,3,0.59,0.57
train,bird,4,0.59,0.63
train,cat,0,0.44,1.76
train,cat,1,0.51,0.78
train,cat,2,0.51,0.98
train,cat,3,0.43,1.02
train,cat,4,0.43,1.09
train,dog,0,0.56,1.69
train,dog,1,0.56,0.56
train,dog,2,0.56,0.66
train,dog,3,0.51,0.95
train,dog,4,0.51,0.93
train,sheep,0,0.60,2.59
train,sheep,1,0.55,0.35
train,sheep,2,0.55,0.45
train,sheep,3,0.60,0.50
train,sheep,4,0.60,0.57
train,horse,0,0.47,1.71
train,horse,1,0.49,0.43
train,horse,2,0.49,0.46
train,horse,3,0.42,0.57
train,horse,4,0.42,0.47
playgen,cow,0,0.49,0.62
playgen,cow,1,0.67,0.18
playgen,cow,2,0.70,0.24
playgen,cow,3,0.60,0.35
playgen,cow,4,0.52,0.43
playgen,bird,0,0.54,0.38
playgen,bird,1,0.69,2.00
playgen,bird,2,0.61,2.66
playgen,bird,3,0.59,0.14
playgen,bird,4,0.60,0.18
playgen,cat,0,0.37,0.35
playgen,cat,1,0.34,0.37
playgen,cat,2,0.48,0.70
playgen,cat,3,0.34,0.41
playgen,cat,4,0.36,0.26
playgen,dog,0,0.54,0.39
playgen,dog,1,0.44,0.21
playgen,dog,2,0.47,0.28
playgen,dog,3,0.38,0.51
playgen,dog,4,0.46,0.24
playgen,sheep,0,0.63,0.78
playgen,sheep,1,nan,nan
playgen,sheep,2,nan,nan
playgen,sheep,3,nan,nan
playgen,sheep,4,nan,nan
playgen,horse,0,0.62,0.66
playgen,horse,1,0.44,0.16
playgen,horse,2,0.46,0.19
playgen,horse,3,0.43,0.30
playgen,horse,4,0.46,0.24
