split,class,index,x_coeff,y_coeff
train,cow,0,1.04,0.81
train,cow,1,0.73,0.90
train,cow,2,0.73,0.90
train,cow,3,0.63,0.70
train,cow,4,0.63,0.70
train,bird,0,0.94,1.11
train,bird,1,0.84,0.93
train,bird,2,0.84,0.93
train,bird,3,0.77,1.08
train,bird,4,0.77,1.08
train,cat,0,0.81,0.73
train,cat,1,0.69,0.72
train,cat,2,0.69,0.72
train,cat,3,0.88,0.78
train,cat,4,0.88,0.78
train,dog,0,0.80,0.77
train,dog,1,0.70,0.89
train,dog,2,0.70,0.89
train,dog,3,0.81,0.83
train,dog,4,0.81,0.83
train,horse,0,0.96,0.82
train,horse,1,0.57,0.79
train,horse,2,0.57,0.79
train,horse,3,0.59,0.78
train,horse,4,0.59,0.78
playgen,cow,0,0.72,0.69
playgen,cow,1,0.58,0.81
playgen,cow,2,0.50,0.78
playgen,cow,3,0.45,0.77
playgen,cow,4,0.49,0.58
playgen,bird,0,0.84,0.69
playgen,bird,1,0.60,0.51
playgen,bird,2,0.52,0.48
playgen,bird,3,0.58,0.67
playgen,bird,4,0.57,0.64
playgen,cat,0,0.55,0.40
playgen,cat,1,0.53,0.41
playgen,cat,2,0.45,0.36
playgen,cat,3,0.43,0.41
playgen,cat,4,0.51,0.47
playgen,dog,0,0.59,0.56
playgen,dog,1,0.54,0.48
playgen,dog,2,0.46,0.48
playgen,dog,3,0.45,0.45
playgen,dog,4,0.48,0.53
playgen,horse,0,0.81,0.64
playgen,horse,1,0.64,0.65
playgen,horse,2,0.61,0.62
playgen,horse,3,0.53,0.52
playgen,horse,4,0.56,0.76
